ra,dec,mag_nuv,mag_fuv,Bmag,Vmag,rmag,imag,Jmag,Hmag,Kmag,Av,e_bv,d,mag_fuv
270.9115199,-0.815262133,21.08879852,23.91886139,15.672,14.706,14.411,14.107,12.839,12.465,12.099,0.3,0.512135088,415,23.91886139
270.9637762,-0.889153759,21.57729912,23.61969948,,,,,14.754,14.468,14.205,0.3,0.53888613,415,23.61969948
270.9695448,-1.19098092,21.64980888,27.92289925,,,,,14.811,14.234,13.974,0.3,0.586985111,415,27.92289925
270.9621639,-1.305533537,20.93060875,22.20042801,,,,,8.749,8.146,7.962,0.3,0.63002193,415,22.20042801
270.9379142,-1.533123147,20.98191452,22.00017738,13.668,12.208,11.649,11.076,9.344,8.74,8.551,0.3,0.759393632,415,22.00017738
270.5993893,-0.779215419,21.54061317,22.53763008,,,,,13.238,12.662,12.504,0.3,0.578825235,415,22.53763008
272.7453949,0.223541558,21.4030304,23.67236137,13.475,11.872,11.298,10.61,8.894,8.216,7.981,0.3,0.593346953,415,23.67236137
272.8756025,0.213191838,20.31219673,22.38717842,12.227,10.86,10.375,9.774,8.244,7.646,7.413,0.3,0.58978796,415,22.38717842
272.872234,0.12009582,20.51844025,21.65822792,12.7,11.233,10.673,10.003,8.388,7.766,7.571,0.3,0.620310366,415,21.65822792
272.7584209,0.10310794,20.53630829,20.66740608,16.29,15.413,15.017,14.563,13.512,12.919,12.734,0.3,0.65413928,415,20.66740608
272.7493182,-0.058807097,20.79515266,21.20346832,16.734,16.322,16.095,15.971,14.811,14.682,14.468,0.3,0.634303153,415,21.20346832
273.6479318,1.056334951,21.64008713,22.47203636,15.372,14.163,13.588,13.16,11.785,11.142,10.993,0.3,0.745589912,415,22.47203636
273.5993052,1.010259135,22.00631142,22.30950928,,,,,15.871,15.333,15.031,0.3,0.775381565,415,22.30950928
273.5237569,0.955536512,22.05809784,99,,,,,16.087,15.444,15.164,0.3,0.842811823,415,---
273.5017529,0.881150957,22.13875961,99,,,,,16.959,16.017,15.515,0.3,0.833456695,415,---
273.613096,0.794899411,21.16266441,22.48112679,16.464,15.391,14.982,14.455,13.091,12.744,12.543,0.3,0.82944876,415,22.48112679
274.3310307,0.389294396,21.25227547,24.85804939,13.078,11.537,10.937,10.242,8.527,7.916,7.648,0.3,0.844412565,415,24.85804939
274.0536809,0.359503105,21.58730698,23.85554695,,,,,16.477,15.713,15.684,0.3,0.78823787,415,23.85554695
271.6752386,-0.324552235,21.39303398,23.67533875,17.878,17.02,,,14.799,14.468,14.213,0.3,0.537044764,415,23.67533875
271.7386059,-0.344388153,22.01075172,22.81487656,,,,,15,14.555,14.204,0.3,0.542078674,415,22.81487656
271.6469625,-0.402878179,21.74447441,24.79247665,,,,,16.066,15.847,15.557,0.3,0.559232712,415,24.79247665
271.6891559,-0.423742259,22.08681488,99,,,,,13.358,12.727,12.586,0.3,0.565434933,415,---
271.6156573,-0.426134129,21.77161789,99,,,,,16.899,16.428,15.625,0.3,0.528618932,415,---
